YEAR	Month	Flux	Sunspot
1987	5	87.78	39.1
1987	6	77.94	18.8
1987	7	84.25	38.2
1987	8	89.96	47.9
1987	9	86.08	42.2
1987	10	98.12	63.4
1987	11	101.23	48.8
1987	12	94.4	29.1
1988	1	108.02	70.5
1988	2	104.97	45.4
1988	3	114.92	91.2
1988	4	122.69	108.8
1988	5	115.24	74.2
1988	6	139.38	124.3
1988	7	152.67	131.4
1988	8	154.21	139.4
1988	9	152.54	142.7
1988	10	169.82	156.5
1988	11	156.18	156.8
1988	12	199.79	231.2
1989	1	235.38	210.1
1989	2	222.39	208.7
1989	3	205.07	170.4
1989	4	189.56	166.3
1989	5	190.14	195.4
1989	6	239.58	284.5
1989	7	181.86	180.5
1989	8	217.09	232
1989	9	225.9	225.1
1989	10	208.68	212.2
1989	11	235.13	238.2
1989	12	213	211.4
1990	1	210.06	227.4
1990	2	178.3	171.8
1990	3	188.81	191.7
1990	4	185.26	189.7
1990	5	189.71	175.2
1990	6	170.94	153.3
1990	7	180.71	191.1
1990	8	222.65	252.1
1990	9	177.38	169.1
1990	10	181.98	199.4
1990	11	184.26	178.8
1990	12	204.9	197.1
1991	1	229.36	195.3
1991	2	243.01	240.3
1991	3	229.98	197
1991	4	198.78	197.6
1991	5	190.29	166.9
1991	6	206.82	224.7
1991	7	211.97	240.2
1991	8	210.31	240.8
1991	9	180.6	168.9
1991	10	201.32	197.1
1991	11	171.99	159.5
1991	12	223.94	212.6
1992	1	217.59	198.3
1992	2	232.08	230.7
1992	3	171.29	151
1992	4	158.51	142.2
1992	5	125.37	94.3
1992	6	116.72	98.5
1992	7	132.17	114.2
1992	8	122.06	91.9
1992	9	116.81	94
1992	10	131.68	133.4
1992	11	145.24	129.6
1992	12	139.06	122
1993	1	121.01	81.4
1993	2	142.59	127.8
1993	3	136.42	102.4
1993	4	115.85	94.4
1993	5	112.35	78.8
1993	6	109.33	69.6
1993	7	98.99	80.4
1993	8	93.66	62.5
1993	9	87.03	31.2
1993	10	100.3	71.1
1993	11	95.92	48.2
1993	12	104.8	68.4
1994	1	115	84.9
1994	2	99.56	54.9
1994	3	90.42	47.5
1994	4	79.11	27.4
1994	5	79.9	29.8
1994	6	77.3	39.7
1994	7	80.52	50.6
1994	8	76.12	34.3
1994	9	79.06	40.5
1994	10	87.71	67.1
1994	11	80.89	29.5
1994	12	84.11	32.2
1995	1	82.61	32.6
1995	2	85.52	45.8
1995	3	85	46.3
1995	4	77.63	21.6
1995	5	75.43	19.4
1995	6	75.65	22.5
1995	7	73.85	20.4
1995	8	73.75	18.2
1995	9	71.93	15.7
1995	10	77.9	30.6
1995	11	74.2	14
1995	12	72.56	14.9
1996	1	74.52	13.3
1996	2	71.83	7.7
1996	3	70.67	12.6
1996	4	69.42	6.8
1996	5	70.13	7.6
1996	6	69.86	16.5
1996	7	71.36	11.8
1996	8	72.48	19.7
1996	9	69.45	3
1996	10	69.23	0.7
1996	11	79.06	24.9
1996	12	75.69	14
1997	1	73.59	7.4
1997	2	73.66	11
1997	3	73.26	12.1
1997	4	74.56	23
1997	5	74.74	25.4
1997	6	71.9	20.8
1997	7	71.25	12.9
1997	8	79.09	35.7
1997	9	96.07	59.7
1997	10	85.01	32.8
1997	11	98.97	50.4
1997	12	96.94	55.5
1998	1	92.7	44.5
1998	2	93.24	50.2
1998	3	109.09	82
1998	4	114.26	70.6
1998	5	107.15	74
1998	6	108.56	90.5
1998	7	113.89	96.7
1998	8	139.86	121.1
1998	9	138.02	132
1998	10	117.72	78.5
1998	11	139.93	97.3
1998	12	150.18	119.2
1999	1	141.74	86
1999	2	142.92	98
1999	3	122.05	103.5
1999	4	117.3	93.6
1999	5	148.46	149.6
1999	6	169.97	207.2
